spawn ssh root@74.208.192.189 cd ~/NetGuard && docker compose logs backend --tail 200 > /tmp/backend_logs.txt && cat /tmp/backend_logs.txt
root@74.208.192.189's password: 
backend-1  | INFO:     172.18.0.8:53488 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53502 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53508 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53516 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53520 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53524 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53528 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53544 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53554 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53556 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53562 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53574 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53580 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53590 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53596 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53604 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53618 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53622 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53626 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53632 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53640 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53648 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53656 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53670 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53676 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53680 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53690 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53700 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53712 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53716 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53720 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53726 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53742 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53744 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53754 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53760 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53762 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53772 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53784 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53790 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53806 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53816 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53832 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53836 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53838 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53848 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53860 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53868 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53880 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53882 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53884 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53898 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53910 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53920 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53928 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53940 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53950 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53962 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53974 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53980 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:53996 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:54010 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:54020 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:54026 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:54030 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:54046 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:54060 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:54068 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:54084 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:54086 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:54102 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:54108 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:54124 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:54126 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:54136 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:54142 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:54156 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.18.0.8:54164 - "GET /api/v1/inventory/devices HTTP/1.1" 401 Unauthorized
